,code
1852,002626
1853,002625
1854,002624
1855,002623
1856,002622
1857,002621
1858,002620
1859,002619
1860,002618
1861,002617
1862,002616
1863,002615
1864,002614
1865,002613
1866,002612
1867,002611
1868,002610
1869,002609
1870,002608
1871,002607
1872,002606
1873,002605
1874,002604
1875,002603
1876,002602
1877,002601
1878,002600
1879,002599
1880,002598
1881,002597
1882,002596
1883,002595
1884,002594
1885,002593
1886,002592
1887,002591
1888,002590
1889,002589
1890,002588
1891,002587
1892,002586
1893,002585
1894,002584
1895,002583
1896,002582
1897,002581
1898,002580
1899,002579
1900,002578
1901,002577
1902,002576
1903,002575
1904,002574
1905,002573
1906,002572
1907,002571
1908,002570
1909,002569
1910,002568
1911,002567
1912,002566
1913,002565
1914,002564
1915,002563
1916,002562
1917,002561
1918,002560
1919,002559
1920,002558
1921,002557
1922,002556
1923,002555
1924,002554
1925,002553
1926,002552
1927,002551
1928,002550
1929,002549
1930,002548
1931,002547
1932,002546
1933,002545
1934,002544
1935,002543
1936,002542
1937,002541
1938,002540
1939,002539
1940,002538
1941,002537
1942,002536
1943,002535
1944,002534
1945,002533
1946,002532
1947,002531
1948,002530
1949,002529
1950,002528
1951,002527
1952,002526
1953,002524
1954,002523
1955,002522
1956,002521
1957,002520
1958,002519
1959,002518
1960,002517
1961,002516
1962,002515
1963,002514
1964,002513
1965,002512
1966,002511
1967,002510
1968,002509
1969,002508
1970,002507
1971,002506
1972,002505
1973,002504
1974,002503
1975,002502
1976,002501
1977,002500
1978,002499
1979,002498
1980,002497
1981,002496
1982,002495
1983,002494
1984,002493
1985,002492
1986,002491
1987,002490
1988,002489
1989,002488
1990,002487
1991,002486
1992,002485
1993,002484
1994,002483
1995,002482
1996,002481
1997,002480
1998,002479
1999,002478
2000,002477
2001,002476
2002,002475
2003,002474
2004,002473
2005,002472
2006,002471
2007,002470
2008,002469
2009,002468
2010,002467
2011,002466
2012,002465
2013,002464
2014,002463
2015,002462
2016,002461
2017,002460
2018,002459
2019,002458
2020,002457
2021,002456
2022,002455
2023,002454
2024,002453
2025,002452
2026,002451
2027,002450
2028,002449
2029,002448
2030,002447
2031,002446
2032,002445
2033,002444
2034,002443
2035,002442
2036,002441
2037,002440
2038,002439
2039,002438
2040,002437
2041,002436
2042,002435
2043,002434
2044,002433
2045,002432
2046,002431
2047,002430
2048,002429
2049,002428
2050,002427
2051,002426
2052,002425
2053,002424
2054,002423
2055,002422
2056,002421
2057,002420
2058,002419
2059,002418
2060,002417
2061,002416
2062,002415
2063,002414
2064,002413
2065,002412
2066,002411
2067,002410
2068,002409
2069,002408
2070,002407
2071,002406
2072,002405
2073,002404
2074,002403
2075,002402
2076,002401
2077,002400
2078,002399
2079,002398
2080,002397
2081,002396
2082,002395
2083,002394
2084,002393
2085,002392
2086,002391
2087,002390
2088,002389
2089,002388
2090,002387
2091,002386
2092,002385
2093,002384
2094,002383
2095,002382
2096,002381
2097,002380
2098,002379
2099,002378
2100,002377
2101,002376
2102,002375
2103,002374
2104,002373
2105,002372
2106,002371
2107,002370
2108,002369
2109,002368
2110,002367
2111,002366
2112,002365
2113,002364
2114,002363
2115,002362
2116,002361
2117,002360
2118,002359
2119,002358
2120,002357
2121,002356
2122,002355
2123,002354
2124,002353
2125,002352
2126,002351
2127,002350
2128,002349
2129,002348
2130,002347
2131,002346
2132,002345
2133,002344
2134,002343
2135,002342
2136,002341
2137,002340
2138,002339
2139,002338
2140,002337
2141,002336
2142,002335
2143,002334
2144,002333
2145,002332
2146,002331
2147,002330
2148,002329
2149,002328
2150,002327
2151,002326
2152,002325
2153,002324
2154,002323
2155,002322
2156,002321
2157,002320
2158,002319
2159,002318
2160,002317
2161,002316
2162,002315
2163,002314
2164,002313
2165,002312
2166,002311
2167,002310
2168,002309
2169,002308
2170,002307
2171,002306
2172,002305
2173,002304
2174,002303
2175,002302
2176,002301
2177,002300
2178,002299
2179,002298
2180,002297
2181,002296
2182,002295
2183,002294
2184,002293
2185,002292
2186,002291
2187,002290
2188,002289
2189,002288
2190,002287
2191,002286
2192,002285
2193,002284
2194,002283
2195,002282
2196,002281
2197,002280
2198,002279
2199,002278
2200,002277
2201,002276
2202,002275
2203,002274
2204,002273
2205,002272
2206,002271
2207,002270
2208,002269
2209,002268
2210,002267
2211,002266
2212,002265
2213,002264
2214,002263
2215,002262
2216,002261
2217,002260
2218,002259
2219,002258
2220,002256
2221,002255
2222,002254
2223,002253
2224,002252
2225,002251
2226,002250
2227,002249
2228,002248
2229,002247
2230,002246
2231,002245
2232,002244
2233,002243
2234,002242
2235,002241
2236,002240
2237,002239
2238,002238
2239,002237
2240,002236
2241,002235
2242,002234
2243,002233
2244,002232
2245,002231
2246,002230
2247,002229
2248,002228
2249,002227
2250,002226
2251,002225
2252,002224
2253,002223
2254,002222
2255,002221
2256,002220
2257,002219
2258,002218
2259,002217
2260,002216
2261,002215
2262,002214
2263,002213
2264,002212
2265,002211
2266,002210
2267,002209
2268,002208
2269,002207
2270,002206
2271,002205
2272,002204
2273,002203
2274,002202
2275,002201
2276,002200
2277,002199
2278,002198
2279,002197
2280,002196
2281,002195
2282,002194
2283,002193
2284,002192
2285,002191
2286,002190
2287,002189
2288,002188
2289,002187
2290,002186
2291,002185
2292,002184
2293,002183
2294,002182
2295,002181
2296,002180
2297,002179
2298,002178
2299,002177
2300,002176
2301,002175
2302,002174
2303,002173
2304,002172
2305,002171
2306,002170
2307,002169
2308,002168
2309,002167
2310,002166
2311,002165
2312,002164
2313,002163
2314,002162
2315,002161
2316,002160
2317,002159
2318,002158
2319,002157
2320,002156
2321,002155
2322,002154
2323,002153
2324,002152
2325,002151
2326,002150
2327,002149
2328,002148
2329,002147
2330,002146
2331,002145
2332,002144
2333,002143
2334,002142
2335,002141
2336,002140
2337,002139
2338,002138
2339,002137
2340,002136
2341,002135
2342,002134
2343,002133
2344,002132
2345,002131
2346,002130
2347,002129
2348,002128
2349,002127
2350,002126
2351,002125
2352,002124
2353,002123
2354,002122
2355,002121
2356,002120
2357,002119
2358,002118
2359,002117
2360,002116
2361,002115
2362,002114
2363,002113
2364,002112
2365,002111
2366,002110
2367,002109
2368,002108
2369,002107
2370,002106
2371,002105
2372,002104
2373,002103
2374,002102
2375,002101
2376,002100
2377,002099
2378,002098
2379,002097
2380,002096
2381,002095
2382,002094
2383,002093
2384,002092
2385,002091
2386,002090
2387,002089
2388,002088
2389,002087
2390,002086
2391,002085
2392,002084
2393,002083
2394,002082
2395,002081
2396,002080
2397,002079
2398,002078
2399,002077
2400,002076
2401,002075
2402,002074
2403,002073
2404,002072
2405,002071
2406,002070
2407,002069
2408,002068
2409,002067
2410,002066
2411,002065
2412,002064
2413,002063
2414,002062
2415,002061
2416,002060
2417,002059
2418,002058
2419,002057
2420,002056
2421,002055
2422,002054
2423,002053
2424,002052
2425,002051
2426,002050
2427,002049
2428,002048
2429,002047
2430,002046
2431,002045
2432,002044
2433,002043
2434,002042
2435,002041
2436,002040
2437,002039
2438,002038
2439,002037
2440,002036
2441,002035
2442,002034
2443,002033
2444,002032
2445,002031
2446,002030
2447,002029
2448,002028
2449,002027
2450,002026
2451,002025
2452,002024
2453,002023
2454,002022
2455,002021
2456,002020
2457,002019
2458,002018
2459,002017
2460,002016
2461,002015
2462,002014
2463,002013
2464,002012
2465,002011
2466,002010
2467,002009
2468,002008
2469,002007
2470,002006
2471,002005
2472,002004
2473,002003
2474,002002
2475,002001
2476,001979
2477,001896
2478,001696
2479,000999
2480,000998
2481,000997
2482,000996
2483,000995
2484,000993
2485,000990
2486,000989
2487,000988
2488,000987
2489,000985
2490,000983
2491,000982
2492,000981
2493,000980
2494,000979
2495,000978
2496,000977
